KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 16, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 17, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 18, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 19, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 20, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 21, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 22, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 23, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 24, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 25, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 26, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 27, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 28, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 29, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_SAMPLE {"scenario": "realistic-cnn-convnext-fp16-b12-i320", "step": 30, "allocated_mib": 24, "reserved_mib": 786, "max_allocated_mib": 704, "max_reserved_mib": 786}
KSOLVER_VRAM_RESULT {"activation_checkpointing": false, "batch_size": 12, "dataloader_sleep_ms": 5, "elapsed_seconds": 2.1919257640838623, "error": null, "family": "cnn", "framework": "pytorch", "framework_version": "2.5.1+cu124", "gpu_name": "NVIDIA GeForce RTX 4090", "gpu_total_mib": 24563, "gradient_accumulation_steps": 1, "heads": null, "hidden_size": 256, "image_size": 320, "input_pipeline": "cpu_to_gpu", "layers": 14, "model_arch": "convnext", "nvidia_smi_peak_used_mib": 1885, "nvidia_smi_samples": [{"elapsed_seconds": 9.5367431640625e-07, "gpu_util_pct": 0, "memory_used_mib": 634, "power_w": 24.89, "temp_c": 47, "ts": "2026/07/03 19:21:07.008"}, {"elapsed_seconds": 0.16843271255493164, "gpu_util_pct": 10, "memory_used_mib": 1009, "power_w": 26.4, "temp_c": 47, "ts": "2026/07/03 19:21:07.177"}, {"elapsed_seconds": 0.30564188957214355, "gpu_util_pct": 0, "memory_used_mib": 1009, "power_w": 34.74, "temp_c": 47, "ts": "2026/07/03 19:21:07.318"}, {"elapsed_seconds": 0.4514963626861572, "gpu_util_pct": 0, "memory_used_mib": 1009, "power_w": 39.09, "temp_c": 47, "ts": "2026/07/03 19:21:07.452"}, {"elapsed_seconds": 0.650475025177002, "gpu_util_pct": 0, "memory_used_mib": 1009, "power_w": 47.62, "temp_c": 48, "ts": "2026/07/03 19:21:07.658"}, {"elapsed_seconds": 0.7896790504455566, "gpu_util_pct": 2, "memory_used_mib": 1107, "power_w": 52.25, "temp_c": 48, "ts": "2026/07/03 19:21:07.797"}, {"elapsed_seconds": 0.9307873249053955, "gpu_util_pct": 5, "memory_used_mib": 1129, "power_w": 62.2, "temp_c": 48, "ts": "2026/07/03 19:21:07.932"}, {"elapsed_seconds": 1.0609560012817383, "gpu_util_pct": 5, "memory_used_mib": 1133, "power_w": 67.18, "temp_c": 48, "ts": "2026/07/03 19:21:08.067"}, {"elapsed_seconds": 1.1971957683563232, "gpu_util_pct": 8, "memory_used_mib": 1857, "power_w": 75.91, "temp_c": 49, "ts": "2026/07/03 19:21:08.214"}, {"elapsed_seconds": 1.3426787853240967, "gpu_util_pct": 13, "memory_used_mib": 1885, "power_w": 78.68, "temp_c": 49, "ts": "2026/07/03 19:21:08.353"}, {"elapsed_seconds": 1.484239101409912, "gpu_util_pct": 40, "memory_used_mib": 1885, "power_w": 91.35, "temp_c": 49, "ts": "2026/07/03 19:21:08.522"}, {"elapsed_seconds": 1.6551704406738281, "gpu_util_pct": 40, "memory_used_mib": 1885, "power_w": 97.97, "temp_c": 49, "ts": "2026/07/03 19:21:08.666"}, {"elapsed_seconds": 1.800149917602539, "gpu_util_pct": 39, "memory_used_mib": 1885, "power_w": 104.11, "temp_c": 49, "ts": "2026/07/03 19:21:08.805"}, {"elapsed_seconds": 1.935293436050415, "gpu_util_pct": 38, "memory_used_mib": 1885, "power_w": 117.85, "temp_c": 49, "ts": "2026/07/03 19:21:08.937"}, {"elapsed_seconds": 2.0641186237335205, "gpu_util_pct": 38, "memory_used_mib": 1885, "power_w": 124.55, "temp_c": 49, "ts": "2026/07/03 19:21:09.062"}], "ok": true, "oom": false, "optimizer": "adamw", "param_count": 173896, "precision": "fp16", "requested_gpu_count": 1, "requested_gpu_type": "rtx-4090", "reserve_extra_mib": 0, "sample_interval_seconds": 0.1, "samples_per_second": 164.23913888820303, "scenario": "realistic-cnn-convnext-fp16-b12-i320", "schema_version": 1, "seq_len": null, "steps_completed": 30, "steps_requested": 30, "torch_peak_allocated_mib": 704, "torch_peak_reserved_mib": 786, "trainer_style": "pytorch-image-classification-style"}
