KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 39, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 40, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 41, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 42, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 43, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 44, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 45, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 46, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 47, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 48, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 49, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 50, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 51, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 52, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 53, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 54, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 55, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 56, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 57, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 58, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 59, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "step": 60, "allocated_mib": 1412, "reserved_mib": 2198, "max_allocated_mib": 1729, "max_reserved_mib": 2198}
KSOLVER_VRAM_RESULT {"activation_checkpointing": true, "batch_size": 2, "dataloader_sleep_ms": 8, "elapsed_seconds": 5.472270488739014, "error": null, "family": "transformer", "framework": "pytorch", "framework_version": "2.5.1+cu124", "gpu_name": "NVIDIA GeForce RTX 4090", "gpu_total_mib": 24563, "gradient_accumulation_steps": 1, "heads": 16, "hidden_size": 1024, "image_size": null, "input_pipeline": "cpu_to_gpu", "layers": 8, "model_arch": "bert", "nvidia_smi_peak_used_mib": 3761, "nvidia_smi_samples": [{"elapsed_seconds": 9.5367431640625e-07, "gpu_util_pct": 0, "memory_used_mib": 1097, "power_w": 12.69, "temp_c": 48, "ts": "2026/07/06 01:57:20.454"}, {"elapsed_seconds": 0.22470355033874512, "gpu_util_pct": 0, "memory_used_mib": 1097, "power_w": 12.92, "temp_c": 48, "ts": "2026/07/06 01:57:20.627"}, {"elapsed_seconds": 0.37473130226135254, "gpu_util_pct": 0, "memory_used_mib": 1097, "power_w": 13.0, "temp_c": 48, "ts": "2026/07/06 01:57:20.819"}, {"elapsed_seconds": 0.566155195236206, "gpu_util_pct": 0, "memory_used_mib": 1103, "power_w": 13.07, "temp_c": 48, "ts": "2026/07/06 01:57:20.973"}, {"elapsed_seconds": 0.7123062610626221, "gpu_util_pct": 4, "memory_used_mib": 1241, "power_w": 13.47, "temp_c": 48, "ts": "2026/07/06 01:57:21.130"}, {"elapsed_seconds": 0.8636302947998047, "gpu_util_pct": 9, "memory_used_mib": 1563, "power_w": 25.45, "temp_c": 48, "ts": "2026/07/06 01:57:21.269"}, {"elapsed_seconds": 1.001546859741211, "gpu_util_pct": 9, "memory_used_mib": 1827, "power_w": 29.74, "temp_c": 48, "ts": "2026/07/06 01:57:21.400"}, {"elapsed_seconds": 1.13287353515625, "gpu_util_pct": 23, "memory_used_mib": 1827, "power_w": 40.06, "temp_c": 48, "ts": "2026/07/06 01:57:21.542"}, {"elapsed_seconds": 1.289320945739746, "gpu_util_pct": 0, "memory_used_mib": 1827, "power_w": 45.17, "temp_c": 48, "ts": "2026/07/06 01:57:21.707"}, {"elapsed_seconds": 1.4483304023742676, "gpu_util_pct": 0, "memory_used_mib": 1827, "power_w": 55.41, "temp_c": 48, "ts": "2026/07/06 01:57:21.856"}, {"elapsed_seconds": 1.6917858123779297, "gpu_util_pct": 0, "memory_used_mib": 1827, "power_w": 65.62, "temp_c": 49, "ts": "2026/07/06 01:57:22.098"}, {"elapsed_seconds": 1.8311941623687744, "gpu_util_pct": 0, "memory_used_mib": 1827, "power_w": 70.17, "temp_c": 49, "ts": "2026/07/06 01:57:22.236"}, {"elapsed_seconds": 1.9732306003570557, "gpu_util_pct": 0, "memory_used_mib": 1827, "power_w": 70.12, "temp_c": 49, "ts": "2026/07/06 01:57:22.366"}, {"elapsed_seconds": 2.0984156131744385, "gpu_util_pct": 0, "memory_used_mib": 1827, "power_w": 70.12, "temp_c": 49, "ts": "2026/07/06 01:57:22.498"}, {"elapsed_seconds": 2.2292213439941406, "gpu_util_pct": 0, "memory_used_mib": 1827, "power_w": 70.12, "temp_c": 49, "ts": "2026/07/06 01:57:22.625"}, {"elapsed_seconds": 2.360106945037842, "gpu_util_pct": 0, "memory_used_mib": 1889, "power_w": 69.8, "temp_c": 49, "ts": "2026/07/06 01:57:22.757"}, {"elapsed_seconds": 2.489840269088745, "gpu_util_pct": 5, "memory_used_mib": 1919, "power_w": 69.98, "temp_c": 49, "ts": "2026/07/06 01:57:22.921"}, {"elapsed_seconds": 2.656080722808838, "gpu_util_pct": 1, "memory_used_mib": 1921, "power_w": 70.05, "temp_c": 49, "ts": "2026/07/06 01:57:23.053"}, {"elapsed_seconds": 2.784654378890991, "gpu_util_pct": 1, "memory_used_mib": 2221, "power_w": 70.23, "temp_c": 49, "ts": "2026/07/06 01:57:23.188"}, {"elapsed_seconds": 2.9244518280029297, "gpu_util_pct": 7, "memory_used_mib": 2481, "power_w": 74.68, "temp_c": 49, "ts": "2026/07/06 01:57:23.334"}, {"elapsed_seconds": 3.069396495819092, "gpu_util_pct": 20, "memory_used_mib": 3381, "power_w": 76.66, "temp_c": 49, "ts": "2026/07/06 01:57:23.472"}, {"elapsed_seconds": 3.2040750980377197, "gpu_util_pct": 20, "memory_used_mib": 3761, "power_w": 80.92, "temp_c": 49, "ts": "2026/07/06 01:57:23.607"}, {"elapsed_seconds": 3.342052698135376, "gpu_util_pct": 51, "memory_used_mib": 3761, "power_w": 106.98, "temp_c": 51, "ts": "2026/07/06 01:57:23.752"}, {"elapsed_seconds": 3.490234613418579, "gpu_util_pct": 69, "memory_used_mib": 3761, "power_w": 118.94, "temp_c": 51, "ts": "2026/07/06 01:57:23.883"}, {"elapsed_seconds": 3.6149542331695557, "gpu_util_pct": 71, "memory_used_mib": 3761, "power_w": 147.79, "temp_c": 51, "ts": "2026/07/06 01:57:24.061"}, {"elapsed_seconds": 3.792330741882324, "gpu_util_pct": 71, "memory_used_mib": 3761, "power_w": 161.7, "temp_c": 51, "ts": "2026/07/06 01:57:24.188"}, {"elapsed_seconds": 3.9221301078796387, "gpu_util_pct": 71, "memory_used_mib": 3761, "power_w": 177.0, "temp_c": 56, "ts": "2026/07/06 01:57:24.315"}, {"elapsed_seconds": 4.0539867877960205, "gpu_util_pct": 70, "memory_used_mib": 3761, "power_w": 201.71, "temp_c": 56, "ts": "2026/07/06 01:57:24.448"}, {"elapsed_seconds": 4.181673288345337, "gpu_util_pct": 70, "memory_used_mib": 3761, "power_w": 213.83, "temp_c": 56, "ts": "2026/07/06 01:57:24.604"}, {"elapsed_seconds": 4.338217496871948, "gpu_util_pct": 68, "memory_used_mib": 3761, "power_w": 228.38, "temp_c": 57, "ts": "2026/07/06 01:57:24.768"}, {"elapsed_seconds": 4.500362157821655, "gpu_util_pct": 69, "memory_used_mib": 3761, "power_w": 228.37, "temp_c": 57, "ts": "2026/07/06 01:57:24.904"}, {"elapsed_seconds": 4.649245023727417, "gpu_util_pct": 70, "memory_used_mib": 3761, "power_w": 229.58, "temp_c": 57, "ts": "2026/07/06 01:57:25.045"}, {"elapsed_seconds": 4.790875673294067, "gpu_util_pct": 70, "memory_used_mib": 3761, "power_w": 231.36, "temp_c": 57, "ts": "2026/07/06 01:57:25.191"}, {"elapsed_seconds": 4.925797462463379, "gpu_util_pct": 70, "memory_used_mib": 3761, "power_w": 231.32, "temp_c": 58, "ts": "2026/07/06 01:57:25.323"}, {"elapsed_seconds": 5.055649757385254, "gpu_util_pct": 70, "memory_used_mib": 3761, "power_w": 232.2, "temp_c": 58, "ts": "2026/07/06 01:57:25.449"}, {"elapsed_seconds": 5.195276260375977, "gpu_util_pct": 70, "memory_used_mib": 3761, "power_w": 230.09, "temp_c": 58, "ts": "2026/07/06 01:57:25.588"}, {"elapsed_seconds": 5.319575309753418, "gpu_util_pct": 71, "memory_used_mib": 3761, "power_w": 230.97, "temp_c": 58, "ts": "2026/07/06 01:57:25.734"}], "ok": true, "oom": false, "optimizer": "adamw", "param_count": 166337792, "precision": "fp16", "requested_gpu_count": 1, "requested_gpu_type": "rtx-4090", "reserve_extra_mib": 0, "sample_interval_seconds": 0.1, "samples_per_second": 21.928740592582045, "scenario": "iter2-repeat-bert-fp16-b2-s1024-ckpt1-r1", "schema_version": 1, "seq_len": 1024, "steps_completed": 60, "steps_requested": 60, "torch_peak_allocated_mib": 1729, "torch_peak_reserved_mib": 2198, "trainer_style": "hf-trainer-style"}
