KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-bert-fp16-ckpt0-b1-s2048", "step": 32, "allocated_mib": 1412, "reserved_mib": 2186, "max_allocated_mib": 1990, "max_reserved_mib": 2186}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-bert-fp16-ckpt0-b1-s2048", "step": 33, "allocated_mib": 1412, "reserved_mib": 2186, "max_allocated_mib": 1990, "max_reserved_mib": 2186}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-bert-fp16-ckpt0-b1-s2048", "step": 34, "allocated_mib": 1412, "reserved_mib": 2186, "max_allocated_mib": 1990, "max_reserved_mib": 2186}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-bert-fp16-ckpt0-b1-s2048", "step": 35, "allocated_mib": 1412, "reserved_mib": 2186, "max_allocated_mib": 1990, "max_reserved_mib": 2186}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-bert-fp16-ckpt0-b1-s2048", "step": 36, "allocated_mib": 1412, "reserved_mib": 2186, "max_allocated_mib": 1990, "max_reserved_mib": 2186}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-bert-fp16-ckpt0-b1-s2048", "step": 37, "allocated_mib": 1412, "reserved_mib": 2186, "max_allocated_mib": 1990, "max_reserved_mib": 2186}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-bert-fp16-ckpt0-b1-s2048", "step": 38, "allocated_mib": 1412, "reserved_mib": 2186, "max_allocated_mib": 1990, "max_reserved_mib": 2186}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-bert-fp16-ckpt0-b1-s2048", "step": 39, "allocated_mib": 1412, "reserved_mib": 2186, "max_allocated_mib": 1990, "max_reserved_mib": 2186}
KSOLVER_VRAM_SAMPLE {"scenario": "iter2-long-bert-fp16-ckpt0-b1-s2048", "step": 40, "allocated_mib": 1412, "reserved_mib": 2186, "max_allocated_mib": 1990, "max_reserved_mib": 2186}
KSOLVER_VRAM_RESULT {"activation_checkpointing": false, "batch_size": 1, "dataloader_sleep_ms": 8, "elapsed_seconds": 3.1004624366760254, "error": null, "family": "transformer", "framework": "pytorch", "framework_version": "2.5.1+cu124", "gpu_name": "NVIDIA GeForce RTX 4090", "gpu_total_mib": 24563, "gradient_accumulation_steps": 1, "heads": 16, "hidden_size": 1024, "image_size": null, "input_pipeline": "cpu_to_gpu", "layers": 8, "model_arch": "bert", "nvidia_smi_peak_used_mib": 3749, "nvidia_smi_samples": [{"elapsed_seconds": 7.152557373046875e-07, "gpu_util_pct": 0, "memory_used_mib": 1093, "power_w": 33.99, "temp_c": 44, "ts": "2026/07/06 01:59:29.986"}, {"elapsed_seconds": 0.16520380973815918, "gpu_util_pct": 0, "memory_used_mib": 1093, "power_w": 33.24, "temp_c": 44, "ts": "2026/07/06 01:59:30.158"}, {"elapsed_seconds": 0.30417418479919434, "gpu_util_pct": 0, "memory_used_mib": 1093, "power_w": 32.65, "temp_c": 44, "ts": "2026/07/06 01:59:30.289"}, {"elapsed_seconds": 0.435427188873291, "gpu_util_pct": 0, "memory_used_mib": 1101, "power_w": 31.57, "temp_c": 44, "ts": "2026/07/06 01:59:30.422"}, {"elapsed_seconds": 0.5700163841247559, "gpu_util_pct": 0, "memory_used_mib": 1477, "power_w": 31.53, "temp_c": 43, "ts": "2026/07/06 01:59:30.558"}, {"elapsed_seconds": 0.7065422534942627, "gpu_util_pct": 16, "memory_used_mib": 1827, "power_w": 36.0, "temp_c": 43, "ts": "2026/07/06 01:59:30.711"}, {"elapsed_seconds": 0.8586299419403076, "gpu_util_pct": 18, "memory_used_mib": 1827, "power_w": 37.84, "temp_c": 43, "ts": "2026/07/06 01:59:30.853"}, {"elapsed_seconds": 1.0149085521697998, "gpu_util_pct": 0, "memory_used_mib": 1827, "power_w": 48.09, "temp_c": 44, "ts": "2026/07/06 01:59:31.014"}, {"elapsed_seconds": 1.165550708770752, "gpu_util_pct": 0, "memory_used_mib": 1827, "power_w": 51.5, "temp_c": 44, "ts": "2026/07/06 01:59:31.156"}, {"elapsed_seconds": 1.3567445278167725, "gpu_util_pct": 0, "memory_used_mib": 1827, "power_w": 60.26, "temp_c": 44, "ts": "2026/07/06 01:59:31.337"}, {"elapsed_seconds": 1.4875314235687256, "gpu_util_pct": 5, "memory_used_mib": 1919, "power_w": 64.8, "temp_c": 44, "ts": "2026/07/06 01:59:31.474"}, {"elapsed_seconds": 1.6229133605957031, "gpu_util_pct": 21, "memory_used_mib": 3371, "power_w": 78.11, "temp_c": 44, "ts": "2026/07/06 01:59:31.611"}, {"elapsed_seconds": 1.7561309337615967, "gpu_util_pct": 21, "memory_used_mib": 3749, "power_w": 85.0, "temp_c": 44, "ts": "2026/07/06 01:59:31.750"}, {"elapsed_seconds": 1.902998924255371, "gpu_util_pct": 63, "memory_used_mib": 3749, "power_w": 108.14, "temp_c": 46, "ts": "2026/07/06 01:59:31.940"}, {"elapsed_seconds": 2.0854883193969727, "gpu_util_pct": 72, "memory_used_mib": 3749, "power_w": 122.75, "temp_c": 46, "ts": "2026/07/06 01:59:32.070"}, {"elapsed_seconds": 2.220163345336914, "gpu_util_pct": 73, "memory_used_mib": 3749, "power_w": 150.9, "temp_c": 46, "ts": "2026/07/06 01:59:32.232"}, {"elapsed_seconds": 2.37825608253479, "gpu_util_pct": 73, "memory_used_mib": 3749, "power_w": 164.92, "temp_c": 46, "ts": "2026/07/06 01:59:32.383"}, {"elapsed_seconds": 2.530784845352173, "gpu_util_pct": 70, "memory_used_mib": 3749, "power_w": 192.1, "temp_c": 49, "ts": "2026/07/06 01:59:32.515"}, {"elapsed_seconds": 2.6676948070526123, "gpu_util_pct": 69, "memory_used_mib": 3749, "power_w": 205.62, "temp_c": 49, "ts": "2026/07/06 01:59:32.653"}, {"elapsed_seconds": 2.7997946739196777, "gpu_util_pct": 69, "memory_used_mib": 3749, "power_w": 221.38, "temp_c": 49, "ts": "2026/07/06 01:59:32.794"}, {"elapsed_seconds": 2.9377756118774414, "gpu_util_pct": 69, "memory_used_mib": 3749, "power_w": 226.03, "temp_c": 49, "ts": "2026/07/06 01:59:32.926"}], "ok": true, "oom": false, "optimizer": "adamw", "param_count": 166337792, "precision": "fp16", "requested_gpu_count": 1, "requested_gpu_type": "rtx-4090", "reserve_extra_mib": 0, "sample_interval_seconds": 0.1, "samples_per_second": 12.901301279071001, "scenario": "iter2-long-bert-fp16-ckpt0-b1-s2048", "schema_version": 1, "seq_len": 2048, "steps_completed": 40, "steps_requested": 40, "torch_peak_allocated_mib": 1990, "torch_peak_reserved_mib": 2186, "trainer_style": "hf-trainer-style"}
